Title,URL,Last Updated,Summary,Text_For_Model,Assigned_Department
Fisheries quota allocation 2015,https://www.gov.uk/government/publications/fisheries-quota-allocation-2015,14 May 2015,These are the final fishing quota allocations for 2015 for in England and the UK.,Fisheries quota allocation 2015 These are the final fishing quota allocations for 2015 for in England and the UK.,"{""bart"": ""FMT"", ""roberta"": ""SIA""}"
Leasing extra quota,https://www.gov.uk/guidance/leasing-extra-quota,7 May 2021,"You can apply to lease extra quota from a producer organisation (PO), to supplement your catch limits or to keep fishing a stock where the 10-metres-and-under or non-sector pool allocation has been used.","Leasing extra quota You can apply to lease extra quota from a producer organisation (PO), to supplement your catch limits or to keep fishing a stock where the 10-metres-and-under or non-sector pool allocation has been used.","{""bart"": ""Stats"", ""roberta"": ""FVL""}"
"Marine planning: first outputs for north east, north west, south east and south west marine plan areas",https://www.gov.uk/government/publications/marine-planning-first-outputs-for-north-east-north-west-south-east-and-south-west-marine-plan-areas,14 August 2017,"The first outputs of the marine planning process for the north east, north west, south east and south west marine plan areas","Marine planning: first outputs for north east, north west, south east and south west marine plan areas The first outputs of the marine planning process for the north east, north west, south east and south west marine plan areas","{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
"Statement of public participation - north east, north west, south east and south west",https://www.gov.uk/government/publications/statement-of-public-participation-north-east-north-west-south-east-and-south-west,18 July 2016,"Statement of Public Participation for the north east, north west, south east and south west marine plan areas and proposed engagement timetable.","Statement of public participation - north east, north west, south east and south west Statement of Public Participation for the north east, north west, south east and south west marine plan areas and proposed engagement timetable.","{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
Defra privacy notice: National Fraud Initiative,https://www.gov.uk/government/publications/defra-privacy-notice-national-fraud-initiative,22 August 2024,Information on how your personal data relating to financial transactions may be used in counter-fraud and error data matching exercises.,Defra privacy notice: National Fraud Initiative Information on how your personal data relating to financial transactions may be used in counter-fraud and error data matching exercises.,"{""bart"": ""Corporate"", ""roberta"": ""Corporate""}"
Quota Leasing Scheme - August 2024,https://www.gov.uk/government/publications/quota-leasing-scheme-august-2024,13 August 2024,"Offer of additional quota to vessels in the non-sector with over 10 metres: Category B, Category C and no-quota annex licences.","Quota Leasing Scheme - August 2024 Offer of additional quota to vessels in the non-sector with over 10 metres: Category B, Category C and no-quota annex licences.","{""bart"": ""FMT"", ""roberta"": ""FVL""}"
Marine Plan - user guide,https://www.gov.uk/government/publications/marine-plan-user-guide,27 October 2015,Guide to support the implementation of marine plans,Marine Plan - user guide Guide to support the implementation of marine plans,"{""bart"": ""Marine Planning"", ""roberta"": ""Planning Team""}"
Temporary fish exports guidance,https://www.gov.uk/guidance/temporary-fish-exports-guidance,5 November 2025,"This guidance is to be used at times when the Fish Exports digital service is offline for a significant amount of time, and a decision has been made to invoke manual arrangements.","Temporary fish exports guidance This guidance is to be used at times when the Fish Exports digital service is offline for a significant amount of time, and a decision has been made to invoke manual arrangements.","{""bart"": ""FDST"", ""roberta"": ""Funding""}"
Recreational feedback on Channel Demersal Non-quota species FMP,https://www.gov.uk/government/publications/recreational-feedback-on-channel-demersal-non-quota-species-fmp,23 September 2022,Overview of feedback from the recreational fishing sector following initial engagement on the Channel Demersal Non-quota species Fisheries Management Plan,Recreational feedback on Channel Demersal Non-quota species FMP Overview of feedback from the recreational fishing sector following initial engagement on the Channel Demersal Non-quota species Fisheries Management Plan,"{""bart"": ""Marine Planning"", ""roberta"": ""FMT""}"
Landing Obligation - General requirements 2018,https://www.gov.uk/government/publications/landing-obligation-general-requirements-2018,16 March 2018,The landing obligation (‘discard ban’) applies to quota species and is being phased in over the period 2015 to 2019.,Landing Obligation - General requirements 2018 The landing obligation (‘discard ban’) applies to quota species and is being phased in over the period 2015 to 2019.,"{""bart"": ""FMT"", ""roberta"": ""FMT""}"
"Guidance for ports, markets, agents and other businesses",https://www.gov.uk/government/publications/guidance-for-ports-markets-agents-and-other-businesses,17 December 2015,Information on how to handle undersize fish and what rules apply.,"Guidance for ports, markets, agents and other businesses Information on how to handle undersize fish and what rules apply.","{""bart"": ""Stats"", ""roberta"": ""OMT""}"
Bass industry guidance 2022,https://www.gov.uk/government/publications/bass-industry-guidance-2022,19 May 2022,"Information on the rules, regulations and restrictions for bass fishing from 31 December 2021","Bass industry guidance 2022 Information on the rules, regulations and restrictions for bass fishing from 31 December 2021","{""bart"": ""Compliance"", ""roberta"": ""Funding""}"
Fisheries Response Fund - support for fishing and aquaculture businesses,https://www.gov.uk/government/publications/fisheries-response-fund-support-for-fishing-and-aquaculture-businesses,6 May 2020,£10 million financial assistance for England’s fishing and aquaculture businesses in response to Covid-19 was announced by Defra and HM Treasury on 17 April 2020.,Fisheries Response Fund - support for fishing and aquaculture businesses £10 million financial assistance for England’s fishing and aquaculture businesses in response to Covid-19 was announced by Defra and HM Treasury on 17 April 2020.,"{""bart"": ""Funding"", ""roberta"": ""Funding""}"
Working with the cruise sector to protect our seas,https://www.gov.uk/government/publications/working-with-the-cruise-sector-to-protect-our-seas,8 June 2021,"In collaboration with the Maritime and Coastguard Agency, Cruise Lines International Association, UK
Chamber of Shipping, and Natural England we are exploring a number of options to protect Marine Protected
Areas from the potential harm that can be done by sizeable vessels anchoring over sensitive features of our
marine environment.","Working with the cruise sector to protect our seas In collaboration with the Maritime and Coastguard Agency, Cruise Lines International Association, UK
Chamber of Shipping, and Natural England we are exploring a number of options to protect Marine Protected
Areas from the potential harm that can be done by sizeable vessels anchoring over sensitive features of our
marine environment.","{""bart"": ""Conservative team"", ""roberta"": ""Conservative team""}"
Demersal landing obligation 2018: Guidance,https://www.gov.uk/government/publications/demersal-landing-obligation-2018-guidance,7 December 2017,Guidance to help vessels operate under the demersal landing obligation which comes into force on the 1 January 2018.,Demersal landing obligation 2018: Guidance Guidance to help vessels operate under the demersal landing obligation which comes into force on the 1 January 2018.,"{""bart"": ""FMT"", ""roberta"": ""Funding""}"
Fisheries quota allocation 2019,https://www.gov.uk/government/publications/fisheries-quota-allocation-2019,16 April 2019,These are the fishing quota allocations for 2019 for England and the UK.,Fisheries quota allocation 2019 These are the fishing quota allocations for 2019 for England and the UK.,"{""bart"": ""FMT"", ""roberta"": ""SIA""}"
Accessibility statement for Explore Marine Plans,https://www.gov.uk/guidance/accessibility-statement-for-explore-marine-plans,1 March 2021,This accessibility statement applies to Explore Marine Plans.,Accessibility statement for Explore Marine Plans This accessibility statement applies to Explore Marine Plans.,"{""bart"": ""Marine Planning"", ""roberta"": ""Marine Planning""}"
